"Street Number Name Direction","Address - City","Address - ZIP","ML_Number","Status","APN","Selling Date","Pending Date","Listing Date","DOM","Listing Price","Selling Price","Selling_Price_Per_Sqft","Year Built","Square Footage","Bedrooms","Bathrooms","Lot Size - Sq Ft","Parking Desc","Pool Type","Solar Owned/Leased Display","RESICONA","Property Subtype","Patio","Stories","Marketing Remarks","Street Full Address","Disclosures Desc","Inactive Date","Owned Solar Type Display","Primary_Picture_Url","Elementary School Desc","Jr High School Desc","Sr High School Desc","School District Desc","Association"
"7100 Elkhorn St","Bakersfield","93313","202204194","S","49856101","05/24/22","05/11/22","04/21/22","16","359900.00","365,000","254.36","1999","1435","3","2","8276","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Cute 3 bedroom, 2 bath house in the Masters Series neighborhood in SilverCreek. House has fresh interior paint, new carpet. Nice size backyard. Close to parks, schools and shopping. Come see.","7100 Elkhorn St, Bakersfield, CA 93313-4923","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/21/a9b829d6-f143-4a80-bc1d-80dbfe82eb67.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7516 Chinese Mountain Way","Bakersfield","93313","202204209","S","49821501","05/26/22","05/01/22","04/22/22","9","409000.00","420,000","217.84","1994","1928","4","2","8276","3 Car Garage","NONE","None","3000.00","SNGF","CVRD","1","Beautiful One Owner Home in Silver Creek! 3 Bedrooms plus Office, 2 Full Baths w/ Double Vanities, Walk in Closet, Garden Tub and Separate Shower in Master. Open Floor Plan with New Paint and Carpet, Tile Floors in Hallways, Kitchen, Breakfast Nook, Laundry Room and Baths. Fireplace, Ceiling Fans, Tile Roof, Covered Patio, Block Wall Fencing, Tuff Shed, Awnings and 3 Car Garage. This Home has been Very Well taken care of. A Must See!!!","7516 Chinese Mountain Way, Bakersfield, CA 93313-4341","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/22/2bba6ad4-939f-4264-8d02-f7f2633b727b.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6408 Quaking Aspen St","Bakersfield","93313","202205549","S","49814109","06/17/22","05/25/22","05/20/22","5","355000.00","360,000","254.60","1990","1414","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","","1","Located in a desirable community, this Silver Creek home is close to dining, shopping, schools, and parks.  This home features brand new exterior and interior paint, new roof, new hardware, new carpet, and new garage door opener.  This 3 bedroom, 2 bathroom home is an open floor plan with vaulted ceilings and plenty of storage. Upon walking in the front door, immediately notice the beautiful tile flooring and large open family room with a cozy brick fireplace.  The full kitchen features brand new painted bright white cabinetry, tile countertops with white appliances, and pantry.  All bedrooms have brand new carpet and the primary suite is oversized with an en-suite bathroom and walk in closet. Primary suite also has access to the spacious backyard with a second covered patio.  Main covered patio, indoor laundry, and 2 car garage.","6408 Quaking Aspen St, Bakersfield, CA 93313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/05/20/13a825bc-db9c-4764-92ec-5d68e2fcda33.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"4821 Shadow Stone St","Bakersfield","93313","202205654","S","49834204","08/16/22","06/07/22","05/23/22","15","369900.00","369,900","226.38","1996","1634","3","2","6534","2 Car Garage","NONE","Leased","0.00","SNGF","CVRD","1","This is a great house. Many aspects and versatility to its floorplan. Covered patio. Wood vinyl flooring. Fireplace in den. Center island in kitchen with granite counter tops. Newer air conditioner. Laundry room. Landscaped front yard and back yard. Tile roof, small porch area for sitting. Freshly painted.","4821 Shadow Stone St, Bakersfield, CA 93313-4560","Call Listing Agent","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/05/23/19f0929b-b412-4bb0-abda-c782aaec904c.jpg","Suburu, Donald","Freedom","Independence","","MLS"
"6303 Redinger St","Bakersfield","93313","202203754","S","49838103","05/20/22","04/27/22","04/12/22","15","379900.00","380,000","218.77","1998","1737","4","2","6534","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Located in a desirable Southwest neighborhood close to Wilderness Park, great shopping, and more!","6303 Redinger St, Bakersfield, CA 93313-4914","Call Listing Agent,None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/12/ce8596ab-c488-4714-8720-21f1142bc54d.jpg","Suburu, Donald","Other-Outlying","Independence","","MLS"
"5503 Stardust Way","Bakersfield","93313","202206070","S","49836302","08/18/22","06/15/22","06/03/22","12","410000.00","410,000","204.49","2001","2005","4","2","6534","2 Car Garage","NONE","None","0.00","SNGF","","1","Gorgeous home with 3 bedrooms, an office, 2baths and a 2 car garage. This property features a large formal living room with a formal dining area, vaulted ceilings, a spacious great room, granite countertops throughout, a lovely kitchen with stainless steel appliances, and a nook. The master bedroom is spacious with a walk in closet and a full bathroom. There is hardwood flooring and indoor laundry room. The backyard has an awning, Aluminum sun shade, some block wall, vinyl fencing and a perfect area for all your gatherings.","5503 Stardust Way, Bakersfield, CA 93313-4570","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/06/06/94bd4d4e-dce8-4071-a50b-759606b28251.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6805 Mountain Iron Dr","Bakersfield","93313","202203732","S","49850103","05/09/22","04/11/22","04/08/22","3","355000.00","359,950","214.51","2000","1678","4","2","6534","2 Car Garage,Carport","NONE","None","0.00","SNGF","CVRD","1","Lovely 4-bedroom 2 bath home in the in the popular Silver Creek community. Split wing, close to schools and community park.","6805 Mountain Iron Dr, Bakersfield, CA 93313-4935","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/28/04db8431-46a3-4d6e-9a79-a3890ba1f148.jpg","Suburu, Donald","Tevis","Independence","","MLS"
"5123 Shadow Lake Dr","Bakersfield","93313","202203552","S","49824406","05/06/22","04/13/22","04/07/22","6","364900.00","386,000","253.28","1993","1524","4","2","5662","2 Car Garage","COMM","Owned","0.00","SNGF","","1","This one shows pride of ownership! Located in beautiful Patriot Village, this home is perfect with 4 bedrooms, 2 baths, and has been updated and lovingly maintained. There is a great sized yard too. Equipped with a newer A/C unit, this home is ready for summer and to top it all off--OWNED Solar! Nearby is a community pool and park!","5123 Shadow Lake Dr, Bakersfield, CA 93313-4369","HOA Fees,None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/07/6603234a-6a50-46c1-b774-addf26c8d300.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6204 Ambergrove St","Bakersfield","93313","202203498","S","49809520","05/20/22","05/09/22","04/06/22","33","374900.00","355,000","160.27","1990","2215","3","2.50","6149","2 Car Garage","NONE","None","0.00","SNGF","","2","Lovely 3 Bedroom, 2.5 Bath home available in Bakersfield. Ideal starter home or perfect addition to any investment portfolio.","6204 Ambergrove St, Bakersfield, CA 93313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/06/de850568-9d61-4969-bb75-df8db0beb47c.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"7303 Pedrick Ct","Bakersfield","93313","202203473","S","49838206","06/22/22","04/12/22","04/06/22","6","485000.00","500,000","218.63","1999","2287","5","3","10018","2 Car Garage","INGR","Owned","0.00","SNGF","CVRD","1","A most Unique find in SW Bakersfield! 2 homes on one lot!! Truly 2 units on one AMAZING Lot. Main house features 3 bed/2 bath plus Office! Step into a Large formal & dining room that leads you to an open great room with view of backyard and your updated delightful kitchen boasting a large island and newer light fixtures.  There is beautiful wood-like' tile throughout.  Wait till you see the Doll House in back- back unit (approx. 443 sq ft) was built for mom's private residence featuring an Open studio floor plan, full kitchen, and bathroom. The yard boasts a large sparkling pool, newly built Patio that is the width of house- perfect for social gatherings! There is a newly built shed perfect for your utility projects or storage, Ample RV parking for your toys and PAID SOLAR!!!  Perfect for Multi-Gen families, A home office, etc.  Located next to Great SW shopping and Parks! Hurry don't let this home pass you by - this Beauty is as unique as a Snowflake, catch it before melts!!","7303 Pedrick Ct, Bakersfield, CA 93313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/10/1adb444a-400d-428b-a0c5-2f642dc602c3.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6311 Brewer Creek Dr","Bakersfield","93313","202207945","S","49869106","08/31/22","08/07/22","07/14/22","24","345000.00","345,000","237.93","2005","1450","3","1.75","4791","2 Car Garage","NONE","None","6000.00","SNGF","CVRD","1","This home is located in Liberty Development@ Silver Creek. this home is in move in condition fresh paint, well maintained. This home features 18x18 tiles in kitchen, maple cabinets, shutters, & blinds throughout the home. Concrete sidewalks around the exterior. This house is in a popular area and in great location.","6311 Brewer Creek Dr, Bakersfield, CA 93313-5914","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/07/14/151ca510-2e92-478b-92f8-ecbc98b5eb76.jpg","Suburu, Donald","Other-Outlying","Independence","","MLS"
"6118 Cloud Peak Ct","Bakersfield","93313","202203157","S","49859011","05/04/22","04/04/22","03/31/22","4","385000.00","400,000","237.67","1999","1683","3","2","14810","2 Car Garage","NONE","None","0.00","SNGF","","1","Stunning Southwest Oversized Cul-De-Sac lot! This 3-bedroom 2 bath located in the Gorgeous Silver Creek neighborhood! Location-Location-Location! This property has it all, many upgrades, great schools, shopping, restaurants and parks. This is a must see & will not last long on the market. Schedule you private showing appointment today!","6118 Cloud Peak Ct, Bakersfield, CA 93313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/31/c4824ff6-ffed-4ef1-9216-dc3629d90e25.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5009 Misty Breaks Dr","Bakersfield","93313","202202893","S","49825313","05/11/22","03/28/22","03/22/22","6","284000.00","305,000","289.10","1993","1055","2","2","5227","2 Car Garage","COMM","None","0.00","SNGF","UNCV,SLAB","1","Attention First Time Buyers and Investors! Great opportunity in Silver Creek! This move-in ready home is located in the quiet neighborhood of Patriot Village. Interior features include open concept great room with vaulted ceilings. Tile flooring in kitchen, bathrooms and all traffic areas. 2 large bedrooms, 2 full baths. Attached 2-car garage. Roomy backyard for summer fun and Bbq's. Community pool and newer AC. Close to major shopping and restaurants!  Don't let this one pass you by!","5009 Misty Breaks Dr, Bakersfield, CA 93313-4361","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/26/db02da69-a4d2-4c4a-9d12-b148e1856d12.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6906 Firebaugh St","Bakersfield","93313","202202794","S","49854211","04/21/22","03/25/22","03/20/22","5","370000.00","370,000","239.48","2000","1545","3","2","6098","2 Car Garage","INGR","Leased","0.00","SNGF","UNCV","1","Come check out this cute Silver Creek charmer! This very clean 3 bed 2 bath--plus large bonus room--home is ready for new owners. Recently painted throughout, it's move in ready. Relax in the pool during those hot summer days. Located close to shopping, parks, and schools, you don't want to miss this one. Make your showing appointment today.","6906 Firebaugh St, Bakersfield, CA 93313-4949","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/20/0ed232f5-5fa8-42bf-a58b-e0cdb2a4a7ef.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5505 Glacier Ct","Bakersfield","93313","202208263","S","49819101","11/15/22","11/04/22","07/21/22","106","340000.00","325,000","207.14","1993","1569","4","2","6969","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Beautifully remodeled 4 bedroom, 2 bath home in Silvercreek area of Bakersfield. Decorative glass window leading to the open living room with fireplace with high ceilings and ceiling fans. As you walk down the tile entry, to the left you will find the kitchen with lighting fixtures and natural light in the nook, that will put you in a culinary mood. Discover a room as the hallway leads to the laundry area and bedroom and office. A spacious layout. Attached 2 car garage, new carpet, light fixtures, paint. Granite throughout.","5505 Glacier Ct, Bakersfield, CA 93313-4305","Call Listing Agent","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/07/27/70466073-86c0-4822-b2e6-77798cb30922.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"5707 Sky Lakes Ave","Bakersfield","93313","202202765","S","49845105","05/06/22","04/01/22","03/18/22","14","449900.00","450,000","174.96","1997","2572","4","3","8712","2 Car Garage","NONE","None","0.00","SNGF","CVRD","2","Desirable Silver Creek home, great neighborhood, large 2572 square foot home with 4 bedrooms and 3 bathrooms. Large backyard with a storage shed. This home is a must see.","5707 Sky Lakes Ave, Bakersfield, CA 93313-4594","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/18/492455ad-517e-4bc4-950e-029dfd60aeb4.jpg","Suburu, Donald","Tevis","Independence","","MLS"
"5901 Kettlerock Mountain Ct","Bakersfield","93313","202202708","S","49821316","04/14/22","04/05/22","03/17/22","19","459000.00","467,500","173.08","1997","2701","6","3","8712","3 Car Garage","NONE","PPA","1250.00","SNGF","CVRD","2","Beautiful two story 6 bed 3 bath corner lot house. This house also offers a three car garage.  House is close to newer shopping centers.","5901 Kettlerock Mountain Ct, Bakersfield, CA 93313-4345","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/19/c7f3ff99-3893-4bc5-9e79-317c8af79f1d.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7916 Silver Birch Ave","Bakersfield","93313","202202244","S","49804113","04/06/22","03/08/22","03/04/22","4","375000.00","400,000","234.88","1989","1703","3","3","6098","2 Car Garage","NONE","None","0.00","SNGF","CVRD","2","Great family home that has been completely renovated! This home features two large living areas, a brick fireplace, a large open kitchen with new stainless appliances and a large dining room downstairs. Upstairs features 3 large bedrooms and an open office area with patio access! The master suite has a fully renovated upscale type on suite/bathroom and a large walk-in closet. Did I mention the large back yard with a covered patio? Great space for entertaining! A rare opportunity you do not want to miss!","7916 Silver Birch Ave, Bakersfield, CA 93313-4142","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/06/586afd61-4008-4459-b3ef-d73e369fcfad.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7204 Sierra Rim Dr","Bakersfield","93313","202208864","S","49831108","09/26/22","08/27/22","08/04/22","23","349900.00","365,000","244.47","1994","1493","3","2","6534","2 Car Garage","NONE","None","0.00","SNGF","UNCV","1","Great Location!! This 3 bedrooms, 2 baths located in Silver Creek is near stores, restaurants, schools, and parks and is approximately 1493sqft. The Kitchen features a center island and plenty of cabinet space. The backyard has mature landscaping and enough space for all your entertainment needs and pets to roam. A must see!","7204 Sierra Rim Dr, Bakersfield, CA 93313-4510","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/08/04/9918aed7-be6d-4cad-9bca-e0ab58ed287f.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6803 Drift Creek St","Bakersfield","93313","202202240","S","49866213","04/15/22","03/07/22","03/04/22","3","350000.00","350,000","235.53","2000","1486","4","2","13939","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Beautiful 4bd/2ba home in Silver Creek! Fully remodeled turn-key property with oversized lot and RV parking. An open floor plan with brand new luxury vinyl flooring, granite countertops, new carpet and paint inside and out! You don't want to miss this one!","6803 Drift Creek St, Bakersfield, CA 93313-4987","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/04/8b50538e-a0a2-4a40-8391-f127313e3901.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7615 Carson Hill Ct","Bakersfield","93313","202209078","S","49815108","09/23/22","08/22/22","08/12/22","10","349000.00","350,000","265.15","1998","1320","3","2","6098","2 Car Garage","INGR","None","5000.00","SNGF","UNCV","1","Cute home in SW. Close to the park & shopping. This 3/2 bath home is ready for your buyers today. Pool w/ rock waterfall is perfect for those hot Bakersfield days, newer carpet. Bring offers today.","7615 Carson Hill Ct, Bakersfield, CA 93313-4198","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/08/12/fbb036c4-564e-4f71-9ce9-e16ad07a0402.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5303 Clover Mountain St","Bakersfield","93313","202201960","S","49830410","05/25/22","04/26/22","03/01/22","11","382000.00","389,000","210.16","1993","1851","3","3","6098","2 Car Garage","NONE","None","500.00","SNGF","CVRD","2","Lovely Silvercreek home in move-in condition.  Updated kitchen, versatile floor plan with new air conditioner and fireplace insert.  Call your agent today.","5303 Clover Mountain St, Bakersfield, CA 93313-4508","Subject To:,None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/15/3c561df6-9353-40f6-9044-d77bcaec1bc8.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"7204 Sierra Path Ave","Bakersfield","93313","202201741","S","49834411","03/28/22","03/26/22","02/21/22","33","360000.00","360,000","221.95","1996","1622","3","2","8276","2 Car Garage","NONE","None","1000.00","SNGF","SLAB","1","3 bdrms plus office or bonus room. Gorgeous front porch & entry. Large backyard grass area & nice patio. 2 1/2 car garage w/lots of cabinets + pull down attic storage. Large island kitchen w/pantry, lots of storage & counter space walk-in linen storage. Near elementary school, parks, shopping. SW SilverCreek area.","7204 Sierra Path Ave, Bakersfield, CA 93313-4544","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/02/21/7a4af811-99be-46ae-9b50-136d6966d7db.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6001 Kettlerock Mountain Ct","Bakersfield","93313","202201740","S","49821322","03/31/22","03/04/22","02/21/22","11","349000.00","385,000","211.19","1996","1823","4","2","8276","3 Car Garage","NONE","None","0.00","SNGF","","1","Come and take a look at this beautiful Silver Creek home, featuring 4 bedrooms 2 bathrooms and a 3 car garage! Granite counter tops in the kitchen, a greeting room, and a cozy chimney in living room. Near a shopping center and with great schools around it. Call your realtor and make an appointment today!","6001 Kettlerock Mountain Ct, Bakersfield, CA 93313-4346","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/02/21/ae21a4b0-afea-472e-ae7b-5c0430c3f2d5.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7509 Carson Hill Ct","Bakersfield","93313","202210216","S","49815203","01/23/23","12/08/22","09/16/22","77","389000.00","399,000","183.28","1992","2177","4","3","6098","2 Car Garage","NONE","Owned","11145.26","SNGF","CVRD","2","Welcome to this 2-story home in Silver Creek, featuring owned solar and updates throughout. The unique kitchen comes with an office space, a laundry room, as well as fresh paint, quartz countertops, a tile backsplash, and plenty of cabinet space. The living room features a very high ceiling w/ ceiling fan, a gas fireplace, and new luxurious vinyl plank flooring. Each bedroom has modern paint colors and spacious closets. The restrooms are equipped with large vanity mirrors and the master bath has been updated to perfection. The indoor utility room has ample storage space and access to the garage. The windows and sliding glass door are newer and more energy efficient. Heading out to the backyard, you will be in awe with the covered patio area, firepit area, spacious side yard, dog run, and surrounded by 2/3 block wall. Schedule your private showing today! (Some pictures may have been digitally staged or enhanced)","7509 Carson Hill Ct, Bakersfield, CA 93313-4330","Special Forms","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/11/04/a1491baa-fc21-4d9d-a538-e77430306783.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
